"","N","Código","Municipio","Mesorregião","Ano","Data","Precipitação mensal (mm)","M","Mes"
"123",123,"83334","Formoso","Noroeste de Minas",2017,2017-02-28,217.1,"02","Fev"
"124",124,"83334","Formoso","Noroeste de Minas",2017,2017-03-31,203.2,"03","Mar"
"125",125,"83334","Formoso","Noroeste de Minas",2017,2017-04-30,14.2,"04","Abr"
"126",126,"83334","Formoso","Noroeste de Minas",2017,2017-05-31,14,"05","Mai"
"127",127,"83334","Formoso","Noroeste de Minas",2017,2017-06-30,0,"06","Jun"
"128",128,"83334","Formoso","Noroeste de Minas",2017,2017-07-31,0,"07","Jul"
"129",129,"83334","Formoso","Noroeste de Minas",2017,2017-08-31,0,"08","Ago"
"130",130,"83334","Formoso","Noroeste de Minas",2017,2017-09-30,NA,"09","Set"
"131",131,"83334","Formoso","Noroeste de Minas",2017,2017-10-31,27.4,"10","Out"
"132",132,"83334","Formoso","Noroeste de Minas",2017,2017-11-30,229.1,"11","Nov"
"133",133,"83334","Formoso","Noroeste de Minas",2017,2017-12-31,291.9,"12","Dez"
"134",134,"83334","Formoso","Noroeste de Minas",2018,2018-01-31,174.5,"01","Jan"
"135",135,"83334","Formoso","Noroeste de Minas",2018,2018-02-28,447.9,"02","Fev"
"136",136,"83334","Formoso","Noroeste de Minas",2018,2018-03-31,144.7,"03","Mar"
"137",137,"83334","Formoso","Noroeste de Minas",2018,2018-04-30,115.3,"04","Abr"
"138",138,"83334","Formoso","Noroeste de Minas",2018,2018-05-31,11.4,"05","Mai"
"139",139,"83334","Formoso","Noroeste de Minas",2018,2018-06-30,0,"06","Jun"
"140",140,"83334","Formoso","Noroeste de Minas",2018,2018-07-31,0,"07","Jul"
"141",141,"83334","Formoso","Noroeste de Minas",2018,2018-08-31,25.7,"08","Ago"
"142",142,"83334","Formoso","Noroeste de Minas",2018,2018-09-30,NA,"09","Set"
"143",143,"83334","Formoso","Noroeste de Minas",2018,2018-10-31,109.8,"10","Out"
"144",144,"83334","Formoso","Noroeste de Minas",2018,2018-11-30,187.4,"11","Nov"
"145",145,"83334","Formoso","Noroeste de Minas",2018,2018-12-31,NA,"12","Dez"
"146",146,"83334","Formoso","Noroeste de Minas",2019,2019-01-31,NA,"01","Jan"
"147",147,"83334","Formoso","Noroeste de Minas",2019,2019-02-28,156.4,"02","Fev"
"148",148,"83334","Formoso","Noroeste de Minas",2019,2019-03-31,283.3,"03","Mar"
"149",149,"83334","Formoso","Noroeste de Minas",2019,2019-04-30,152.8,"04","Abr"
"150",150,"83334","Formoso","Noroeste de Minas",2019,2019-05-31,12.6,"05","Mai"
"151",151,"83334","Formoso","Noroeste de Minas",2019,2019-06-30,0,"06","Jun"
"152",152,"83334","Formoso","Noroeste de Minas",2019,2019-07-31,0,"07","Jul"
"153",153,"83334","Formoso","Noroeste de Minas",2019,2019-08-31,0.1,"08","Ago"
"154",154,"83334","Formoso","Noroeste de Minas",2019,2019-09-30,NA,"09","Set"
"155",155,"83334","Formoso","Noroeste de Minas",2019,2019-10-31,19.2,"10","Out"
"156",156,"83334","Formoso","Noroeste de Minas",2019,2019-11-30,134.7,"11","Nov"
"157",157,"83334","Formoso","Noroeste de Minas",2019,2019-12-31,119.1,"12","Dez"
"158",158,"83334","Formoso","Noroeste de Minas",2020,2020-01-31,186.4,"01","Jan"
"159",159,"83334","Formoso","Noroeste de Minas",2020,2020-02-29,206.6,"02","Fev"
"160",160,"83334","Formoso","Noroeste de Minas",2020,2020-03-31,427,"03","Mar"
"161",161,"83334","Formoso","Noroeste de Minas",2020,2020-04-30,155.8,"04","Abr"
"162",162,"83334","Formoso","Noroeste de Minas",2020,2020-05-31,3.6,"05","Mai"
"163",163,"83334","Formoso","Noroeste de Minas",2020,2020-06-30,0,"06","Jun"
"164",164,"83334","Formoso","Noroeste de Minas",2020,2020-07-31,0,"07","Jul"
"165",165,"83334","Formoso","Noroeste de Minas",2020,2020-08-31,0,"08","Ago"
"166",166,"83334","Formoso","Noroeste de Minas",2020,2020-09-30,NA,"09","Set"
"167",167,"83334","Formoso","Noroeste de Minas",2020,2020-10-31,121.4,"10","Out"
"168",168,"83334","Formoso","Noroeste de Minas",2020,2020-11-30,190.3,"11","Nov"
"169",169,"83334","Formoso","Noroeste de Minas",2020,2020-12-31,163.2,"12","Dez"
"170",170,"83334","Formoso","Noroeste de Minas",2021,2021-01-31,138.9,"01","Jan"
"171",171,"83334","Formoso","Noroeste de Minas",2021,2021-02-28,227.9,"02","Fev"
"172",172,"83334","Formoso","Noroeste de Minas",2021,2021-03-31,23,"03","Mar"
"173",173,"83334","Formoso","Noroeste de Minas",2021,2021-04-30,272.5,"04","Abr"
"174",174,"83334","Formoso","Noroeste de Minas",2021,2021-05-31,0,"05","Mai"
"175",175,"83334","Formoso","Noroeste de Minas",2021,2021-06-30,6.4,"06","Jun"
"176",176,"83334","Formoso","Noroeste de Minas",2021,2021-07-31,0,"07","Jul"
"177",177,"83334","Formoso","Noroeste de Minas",2021,2021-08-31,0,"08","Ago"
"178",178,"83334","Formoso","Noroeste de Minas",2021,2021-09-30,NA,"09","Set"
"179",179,"83334","Formoso","Noroeste de Minas",2021,2021-10-31,97.9,"10","Out"
"180",180,"83334","Formoso","Noroeste de Minas",2021,2021-11-30,209.2,"11","Nov"
"181",181,"83334","Formoso","Noroeste de Minas",2021,2021-12-31,595.9,"12","Dez"
"182",182,"83334","Formoso","Noroeste de Minas",2022,2022-01-31,114.2,"01","Jan"
"183",183,"83334","Formoso","Noroeste de Minas",2022,2022-02-28,368.1,"02","Fev"
"184",184,"83334","Formoso","Noroeste de Minas",2022,2022-03-31,72.8,"03","Mar"
"185",185,"83334","Formoso","Noroeste de Minas",2022,2022-04-30,23.4,"04","Abr"
"186",186,"83334","Formoso","Noroeste de Minas",2022,2022-05-31,0,"05","Mai"
"187",187,"83334","Formoso","Noroeste de Minas",2022,2022-06-30,0,"06","Jun"
"188",188,"83334","Formoso","Noroeste de Minas",2022,2022-07-31,NA,"07","Jul"
"189",189,"83334","Formoso","Noroeste de Minas",2022,2022-08-31,NA,"08","Ago"
"190",190,"83334","Formoso","Noroeste de Minas",2022,2022-09-30,23.8,"09","Set"
"191",191,"83334","Formoso","Noroeste de Minas",2022,2022-10-31,27.4,"10","Out"
"192",192,"83334","Formoso","Noroeste de Minas",2022,2022-11-30,208.8,"11","Nov"
"193",193,"83334","Formoso","Noroeste de Minas",2022,2022-12-31,NA,"12","Dez"
"194",194,"83334","Formoso","Noroeste de Minas",2023,2023-01-31,NA,"01","Jan"
"195",195,"83334","Formoso","Noroeste de Minas",2023,2023-02-28,128.6,"02","Fev"
"196",196,"83334","Formoso","Noroeste de Minas",2023,2023-03-31,97.8,"03","Mar"
"197",197,"83334","Formoso","Noroeste de Minas",2023,2023-04-30,117.4,"04","Abr"
"198",198,"83334","Formoso","Noroeste de Minas",2023,2023-05-31,6.4,"05","Mai"
"199",199,"83334","Formoso","Noroeste de Minas",2023,2023-06-30,0,"06","Jun"
"200",200,"83334","Formoso","Noroeste de Minas",2023,2023-07-31,0,"07","Jul"
